Site Name,Street Address,City,Postal Code,Latitude,Longitude,Allocating Organization,Notes
Pioneer Charging Hub #001,593 Jones Walk,Quesnel,V3K 2E8,49.317184,-128.486639,,
Lighthouse Charging Hub #002,254 Simmons Divide Suite 645,Sidney,V8S 3T9,51.554831,-117.275334,,
Evergreen ChargePoint #003,6842 Julie Vista,Chilliwack,V5E 1R1,52.500059,-130.44047,,
Maple EV Station #004,2805 Eugene Valleys Apt. 588,Squamish,V6C 8M9,58.659785,-129.997426,,
Lighthouse Energy Plaza #005,4148 Lindsey Mission,Burnaby,V3E 6L7,55.737508,-129.917306,,
Evergreen EV Station #006,3634 Thomas Village Apt. 156,Sidney,V2Y 3H7,52.739629,-114.262545,,
Lighthouse Charging Hub #007,859 Hunter Lodge Apt. 245,Richmond,V6L 1J9,58.553501,-131.174172,,
River ChargePoint #008,21726 Hernandez Parks Apt. 716,Williams Lake,V3Y 8L9,53.312676,-124.436665,,
Willow Charge Depot #009,Unit 149 - 458 Martin Highway Suite 019,Kamloops,V1G 2S9,49.043274,-129.496621,,
Maple Charging Hub #010,63503 Danielle Underpass Suite 868,Courtenay,V1Y 4N1,51.733952,-135.096567,,
Summit EV Station #011,774 Lozano Station Apt. 189,Gibsons,V4X 9J2,52.674792,-135.011581,,
Forest Charging Hub #012,Unit 472 - 74257 Diaz Garden Suite 386,Abbotsford,V4K 0K9,59.379309,-136.913524,,
Raven ChargePoint #013,0864 Maria Prairie,Trail,V8H 4X9,53.250714,-133.752337,,
Cascade Charge Depot #014,05939 Mathis Street Suite 533,Port Coquitlam,V7E 3K1,52.255601,-124.316984,,
Harbour EV Station #015,87056 Macdonald Locks Suite 610,Sooke,V0K 1B5,49.129031,-133.095604,,
Raven Charge Depot #016,220 Oliver Centers,Trail,V7S 3E1,56.010098,-130.181303,,
Pioneer Charging Hub #017,975 Elizabeth Street Suite 243,Richmond,V5E 3J3,54.574543,-135.547032,,
Lighthouse EV Station #018,679 Baldwin Lock,Squamish,V8E 0Y0,59.637256,-115.845243,,
Forest Charge Depot #019,771 Sara Divide,Port Moody,V6B 2R0,59.828113,-132.414011,,
Maple Charge Depot #020,8403 Smith Corners Apt. 422,Penticton,V4J 0Y0,57.051314,-137.627438,,
Summit Charging Hub #021,6433 Smith Shoals,Salmon Arm,V1H 1C3,53.024174,-115.463601,,
Cedar EV Station #022,9098 Carrie Locks Suite 703,Terrace,V9X 5L3,56.135794,-131.186552,,
Seaside Charge Depot #023,6482 Charles View,Kamloops,V1A 7E1,54.590323,-126.38253,,
Lighthouse Supercharge #024,3212 Nelson Canyon,Surrey,V7Y 4X0,56.113999,-125.161667,,
Pioneer EV Station #025,86055 Mitchell Stravenue Apt. 971,Courtenay,V2L 4J5,50.682089,-123.165997,,
Evergreen Charging Hub #026,Unit 534 - 37325 Lang Terrace,Sechelt,V4B 0N2,55.754227,-132.495401,,
Maple Charging Hub #027,Unit 808 - 771 Page Summit,Penticton,V2Y 0P9,54.764544,-128.289545,,
Cedar Supercharge #028,548 Davis Via Apt. 658,New Westminster,V3E 5Y6,59.693893,-120.278091,,
Sunrise Charging Hub #029,170 Susan Via,Esquimalt,V5S 3L2,57.512282,-136.351124,,
Orchard Charge Depot #030,885 Diane Tunnel,Sooke,V3K 0J6,52.140665,-117.399315,,
Willow Power Stop #031,97625 Michael Parks Suite 809,Williams Lake,V8N 0E4,50.389243,-114.93889,,
Discovery Power Stop #032,07716 Moore Wall,Nanaimo,V5S 9X1,52.806787,-124.610704,,
Harbour Fast Charge #033,145 Jennifer Lakes Apt. 014,Penticton,V1N 9N1,56.721125,-131.533924,,
Lakeview Energy Plaza #034,182 Kevin Curve Apt. 626,Abbotsford,V3S 6H9,54.958531,-128.883756,,
Orchard Power Stop #035,378 Zimmerman Orchard,Parksville,V9N 7T7,56.204839,-126.24998,,
Willow Supercharge #036,Unit 870 - 783 Cynthia Loop,Parksville,V3M 3J2,48.585777,-132.924246,,
River Power Stop #037,60367 Brian Track Apt. 713,Surrey,V9J 6V6,51.154618,-122.619186,,
Lighthouse ChargePoint #038,41224 Tracy Estate Apt. 489,Penticton,V8T 0Y3,59.034399,-136.018754,,
Willow Supercharge #039,95273 Harris Shores,Campbell River,V7X 6Y7,58.797335,-120.423995,,
Lighthouse Energy Plaza #040,264 Ariel Corners,Courtenay,V8V 3L7,49.206555,-131.899653,,
Maple EV Station #041,Unit 337 - 76903 Gregory Track Apt. 275,Abbotsford,V6G 3C6,53.068913,-125.462165,,
Sunrise Power Stop #042,9557 Martin Avenue Suite 883,Sidney,V9A 9R7,48.368984,-130.244924,,
Maple Fast Charge #043,7021 Rodriguez Course Apt. 736,Trail,V4S 7A6,52.232716,-122.040704,,
Raven Charging Hub #044,14693 Haney Trace,Squamish,V9A 1S2,58.442161,-134.505871,,
Orchard Charge Depot #045,771 Oscar Gardens,Abbotsford,V6L 6L1,53.80259,-120.289452,,
Pacific Charging Hub #046,25394 Dominique Ranch Suite 176,Sooke,V3J 0G3,49.776785,-122.283361,,
Evergreen Supercharge #047,14842 Bryan Village Suite 766,Prince Rupert,V9E 2M1,55.070611,-115.782088,,
Pacific Fast Charge #048,Unit 892 - 98953 Jesse Summit,Colwood,V4E 9B5,54.533119,-122.482275,,
Mountain Charging Hub #049,870 Foster Glen Apt. 888,Williams Lake,V7E 6P7,56.575511,-128.146692,,
Forest Charge Depot #050,34183 Sean Locks Suite 510,Trail,V9L 5K1,51.563461,-127.762902,,
Lakeview Supercharge #051,Unit 972 - 119 Alicia Gardens,Kitimat,V5H 7J5,57.634639,-130.531109,,
Willow Fast Charge #052,Unit 838 - 89514 Berg Dale Suite 509,Victoria,V6V 8K7,55.857064,-126.760017,,
Lighthouse Power Stop #053,07112 Dawn Park Suite 389,Parksville,V4P 7Y8,52.321962,-114.084416,,
River Energy Plaza #054,798 Emma Point,Prince Rupert,V3E 3N1,56.991708,-115.231008,,
Forest Energy Plaza #055,1164 Joshua Valley Apt. 040,Sidney,V8M 1J4,50.961553,-134.563195,,
Evergreen Charging Hub #056,23890 Thomas Park,Kamloops,V8M 2V1,58.510821,-124.673951,,
Mountain ChargePoint #057,30240 Corey Rapids Apt. 330,Vernon,V4V 1C6,54.053435,-124.59985,,
Bayview Energy Plaza #058,Unit 355 - 08985 Collin Road Apt. 912,Prince George,V1Y 6K8,52.750423,-116.29288,,
Seaside Charging Hub #059,535 Thomas Trace Suite 703,Penticton,V1J 3L1,50.137568,-134.704232,,
Sunrise Charge Depot #060,9668 Moore Circle Apt. 361,Victoria,V7M 0K4,56.571383,-121.443132,,
Lighthouse Energy Plaza #061,88270 Sarah Vista Suite 556,Powell River,V9J 6E8,50.930271,-135.326326,,
Cedar ChargePoint #062,656 Richard Unions,Surrey,V9M 7E7,56.357532,-121.524674,,
Forest Charge Depot #063,Unit 141 - 74653 Luke Ville,Trail,V6N 9L0,49.368525,-114.954508,,
Cedar ChargePoint #064,77634 Leslie Oval,Cranbrook,V7L 2S7,59.637946,-127.28154,,
Pioneer ChargePoint #065,767 Luis Forges Apt. 137,Abbotsford,V7M 6Y0,53.621463,-131.1782,,
Willow Charging Hub #066,7937 Perkins Creek Apt. 246,Port Coquitlam,V8T 6B3,54.365741,-123.456795,,
Orchard Energy Plaza #067,818 Grimes Rue Suite 791,Richmond,V4T 7E0,59.685818,-123.801676,,
Maple Charging Hub #068,632 Sparks Meadow,Qualicum Beach,V1K 1T1,55.878203,-135.201484,,
Sunrise Charge Depot #069,414 Lisa Stream Suite 096,Comox,V3T 8G6,50.530141,-124.039597,,
Sunrise Supercharge #070,5899 Jeffrey Club Suite 254,Comox,V8L 0M4,58.098468,-124.52712,,
Maple Charge Depot #071,9124 Yvonne Junctions,Vernon,V8Y 6T5,58.47434,-114.481788,,
Lighthouse Power Stop #072,Unit 863 - 76875 Woodard Keys,Coquitlam,V7R 6G7,59.588446,-135.896268,,
Pioneer Charge Depot #073,Unit 248 - 6285 Karen Cliffs Suite 252,Vernon,V6G 1V4,52.261166,-121.700823,,
Maple Power Stop #074,097 Michael Passage,Powell River,V7Y 0C3,55.684584,-115.981517,,
Pioneer EV Station #075,24971 Amy Manor Suite 033,Penticton,V4A 0N0,51.732403,-129.666482,,
Sunrise ChargePoint #076,64604 Tara Mission Suite 272,Salmon Arm,V1R 9K7,58.980099,-135.47347,,
Evergreen Charging Hub #077,8907 Herman Fork,Squamish,V7M 8H1,53.468238,-130.400125,,
Evergreen Charge Depot #078,759 Martin Corners Suite 862,Prince Rupert,V3R 7E3,52.761962,-130.064484,,
Lakeview Energy Plaza #079,Unit 986 - 87423 Martinez Trafficway Suite 697,Vancouver,V0V 4K9,57.682604,-133.571746,,
